Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office,BechdelRating
499,1991,Hook,"$300,854,823","$119,654,823","$181,200,000",2
500,1985,Rambo: First Blood Part II,"$300,400,000","$150,415,432","$149,984,568",0
502,1978,Superman,"$300,200,000","$134,218,018","$165,981,982",1
503,2004,Van Helsing,"$300,150,546","$120,150,546","$180,000,000",3
504,2008,Horton Hears a Who,"$299,477,886","$154,529,439","$144,948,447",1
505,2010,Shutter Island,"$299,461,782","$128,012,934","$171,448,848",1
507,1999,Stuart Little,"$298,815,224","$140,015,224","$158,800,000",1
510,2000,X-Men,"$296,872,367","$157,299,717","$139,572,650",1
511,2002,Austin Powers in Goldmember,"$296,338,663","$213,117,789","$83,220,874",1
513,2010,Resident Evil: Afterlife,"$295,874,190","$60,128,566","$235,745,624",3
514,1984,Ghostbusters,"$295,211,811","$242,212,467","$52,999,344",2
516,2010,Sex and the City 2,"$294,680,778","$95,347,692","$199,333,086",3
518,2009,G-Force,"$292,817,841","$119,436,770","$173,381,071",1
519,2018,Pacific Rim: Uprising,"$290,930,148","$59,874,525","$231,055,623",3
521,2010,Salt,"$290,650,494","$118,311,368","$172,339,126",3
522,2017,Ferdinand,"$289,838,913","$84,410,380","$205,428,533",3
524,2011,Bridesmaids,"$289,632,023","$169,211,718","$120,420,305",3
526,1988,Coming to America,"$288,800,000","$128,152,301","$160,647,699",3
527,2000,What Lies Beneath,"$288,693,989","$155,464,351","$133,229,638",3
528,2013,Oblivion,"$287,916,633","$89,107,235","$198,809,398",3
529,2007,Bee Movie,"$287,594,577","$126,631,277","$160,963,300",1
530,2015,Pitch Perfect 2,"$287,215,196","$184,296,230","$102,918,966",3
531,2013,Turbo,"$286,896,578","$83,028,130","$203,868,448",3
532,2001,American Pie 2,"$286,500,000","$145,096,820","$141,403,180",3
534,2013,Elysium,"$286,192,091","$93,050,117","$193,141,974",3
535,1998,Lethal Weapon 4,"$285,400,000","$130,444,603","$154,955,397",1
536,2005,Wedding Crashers,"$283,218,368","$209,218,368","$74,000,000",3
537,1994,Speed,"$283,200,000","$121,248,145","$161,951,855",3
538,2012,John Carter,"$282,778,100","$73,058,679","$209,719,421",3
539,1977,Saturday Night Fever,"$282,400,000","$139,486,124","$142,913,876",1
540,1995,Casper,"$282,300,000","$100,328,194","$181,971,806",3
542,1998,Shakespeare in Love,"$279,500,000","$100,317,794","$179,182,206",3
546,2000,Scary Movie,"$277,200,000","$157,019,771","$120,180,229",3
547,2016,Alice Through the Looking Glass,"$276,928,112","$77,042,381","$199,885,731",3
548,1987,Beverly Hills Cop II,"$276,665,036","$153,665,036","$123,000,000",1
549,2002,Scooby-Doo,"$276,294,164","$153,294,164","$123,000,000",3
550,2014,Divergent,"$276,014,965","$150,947,895","$125,067,070",3
552,2008,Gran Torino,"$274,543,085","$148,095,302","$126,447,783",2
553,2008,High School Musical 3: Senior Year,"$274,392,880","$90,559,416","$183,833,464",3
554,2013,Cloudy with a Chance of Meatballs 2,"$274,392,649","$119,793,567","$154,599,082",3
556,1996,Jerry Maguire,"$273,552,592","$153,952,592","$119,600,000",2
557,2018,Tomb Raider,"$273,477,501","$58,250,803","$215,226,698",3
558,2012,Lincoln,"$273,346,281","$182,207,973","$91,138,308",3
558,2012,Lincoln,"$273,346,281","$182,207,973","$91,138,308",3,3
559,2001,Lara Croft: Tomb Raider,"$273,330,185","$131,144,183","$142,186,002",0
560,2003,Bad Boys II,"$273,271,982","$138,540,870","$134,731,112",1
561,2010,Grown Ups,"$272,223,000","$162,001,186","$110,221,814",3
563,2014,Neighbors,"$270,944,428","$150,086,800","$120,857,628",3
565,2014,Mr. Peabody & Sherman,"$269,806,430","$111,506,430","$158,300,000",1
569,2014,Exodus: Gods and Kings,"$268,314,513","$65,014,513","$203,300,000",2
571,1942,Bambi,"$268,000,000","$102,797,000","$165,203,000",1
572,2007,American Gangster,"$267,985,456","$130,164,645","$137,820,811",1
574,2002,xXx,"$267,200,000","$141,930,000","$125,270,000",1
575,1992,Batman Returns,"$266,824,291","$162,833,635","$103,990,656",0
577,1993,Indecent Proposal,"$266,600,000","$106,614,059","$159,985,941",0
578,2018,Maze Runner: The Death Cure,"$265,878,536","$58,032,443","$207,846,093",3
580,1995,Waterworld,"$264,246,220","$88,246,220","$176,000,000",2
583,2004,Bridget Jones: The Edge Of Reason,"$263,894,551","$40,203,020","$223,691,531",3
584,2011,Real Steel,"$263,880,341","$85,463,309","$178,417,032",1
585,1950,Cinderella,"$263,591,415","$85,000,000","$178,591,415",3
587,2013,Epic,"$262,794,441","$107,518,682","$155,275,759",3
588,1995,Jumanji,"$262,758,310","$100,458,310","$162,300,000",3
589,2006,Borat,"$261,443,242","$128,505,958","$132,937,284",1
590,1990,Total Recall,"$261,400,000","$119,394,839","$142,005,161",1
592,2005,Robots,"$260,636,271","$128,200,012","$132,436,259",1
595,2017,Blade Runner 2049,"$259,238,971","$92,054,159","$167,184,812",3
596,2010,Knight and Day,"$258,751,370","$76,423,035","$182,328,335",2
597,1985,Out of Africa,"$258,210,860","$79,096,868","$179,113,992",3
598,2011,Super 8,"$257,972,745","$127,004,179","$130,968,566",3
599,2013,American Hustle,"$257,858,943","$150,098,456","$107,760,487",3
600,2000,Erin Brockovich,"$257,805,243","$125,548,685","$132,256,558",3
